title,price,location,time,status,category
"아이패드 프로 11 4세대, 스페이스 그레이, 256GB, wifi + 애플펜슬 2세대+ 케이스","890,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플펜슬 1세대 판매합니다!,"50,000원",충남 천안시 서북구 쌍용2동,3개월 전,판매중,디지털기기
애플워치 SE1 44mm 나이키 에디션 팝니다,"50,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플 에어팟 프로,"70,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플 펜슬 1세대,"45,000원",대전 유성구 봉명동,끌올 8개월 전,판매중,디지털기기
애플워치 울트라 49mm,"500,000원",대전 대덕구 오정동,끌올 7개월 전,판매중,디지털기기
애플워치 SE2 40mm 실버,"135,000원",대전 유성구 봉명동,끌올 9개월 전,판매중,디지털기기
애플워치8 45mm 부품용 팔아요,"60,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플워치 SE 2세대 실버 44mm 미개봉 팝니다.,"270,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
애플워치 실버 알루미늄 se1 44mm,"160,000원",대전 유성구 봉명동,9개월 전,판매중,디지털기기
미개봉 애플 펜슬 2세대 A2051,"120,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플 펜슬 프로 (미개봉 새상품),"160,000원",대전 유성구 봉명동,7개월 전,판매중,디지털기기
"아이패드 정품 스마트키보드, 애플펜슬 1세대 팝니다.","80,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
애플펜슬 프로 새상품,"160,000원",경남 창원시 성산구 가음정동,7개월 전,판매중,디지털기기
애플 펜슬 프로,"110,000원",대전 동구 천동,7개월 전,판매중,디지털기기
애플워치 SE2 스페이스 그레이 판매,"60,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플펜슬 1세대 화이트,"60,000원",대전 유성구 봉명동,4개월 전,판매중,디지털기기
애플워치3 나이키 42mm 판매 합니다.,"60,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플워치 SE2 40mm 실버 미개봉품,"250,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플워치 SE3 스타라이트 40mm 미개봉,"300,000원",대전 유성구 죽동,2개월 전,판매중,디지털기기
애플펜슬 2세대(지금 바로 가져다드려요),"80,000원",서울시 금천구 독산동,9개월 전,판매중,디지털기기
애플워치5 입니다,"80,000원",대전 유성구 봉명동,끌올 8개월 전,판매중,디지털기기
애플 에어팟 4 노캔 o,"150,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플워치se 40mm 판매해요 관심있으면 제발 채팅ㄱ!!!!,"100,000원",대전 유성구 봉명동,끌올 6개월 전,판매중,디지털기기
애플워치 Series 10 GPS 블랙,"200,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플워치 SE 2세대 44mm 미드나이트 가격낮춤,"232,000원",서울시 서초구 서초1동,끌올 9개월 전,판매중,디지털기기
애플워치 울트라2 블랙 오션밴드 미개봉 새상품,"920,000원",대전 서구 월평동,7개월 전,판매중,디지털기기
"애플워치 9 45mm 박스풀 정품충전기, 스트랩 포함","250,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플워치 se1 팜니다,"70,000원",대전 대덕구 신탄진동,1개월 전,판매중,디지털기기
애플워치7 41mm 그린색상 판매합니다,"100,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플펜슬 1세대 팝니다,"40,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
