title,price,location,time,status,url,seller_nickname,description,image_count
자라 바스켓백(새상품),"38,000원",대전 서구 둔산동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9E%90%EB%9D%BC-%EB%B0%94%EC%8A%A4%EC%BC%93%EB%B0%B1-%EC%83%88%EC%83%81%ED%92%88-5216ie9mqsii/,스누피,트랜비에서 7만원대 구입했는데 색감이랑 디자인은 맘에드는데 생각보다 사이즈가 커서 한번도 안쓰고 보관만한 상태예요 현재는 품절된상태고 직접 가지러 오셔야하고  예민하신분 찔러보기 택배거래 사양합니다 가로 58 세로38 폭 19,8
대형 화이트보드 판매(2500*1250),"100,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8C%80%ED%98%95-%ED%99%94%EC%9D%B4%ED%8A%B8%EB%B3%B4%EB%93%9C-%ED%8C%90%EB%A7%A4-2500-1250-12wwg3fdn63d/,겨울체리,"학원 정리로 인해 대형 화이트보드 판매합니다. 사이즈는 2500*1250 이며, 구매 후 1년도 채 사용하지 않아 상태 좋습니다. 비싸게 주고 설치한 제품이라 퀄리티 좋습니다. 위치는 대전 탄방동이고, 부피가 큰 제품이라 직접 가져가셔야 합니다. 관심 있으신 분은 연락 주세요 🙂",5
아디다스 오리지널 맨투맨 (가격조정없음),"15,000원",대전 서구 둔산동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EB%94%94%EB%8B%A4%EC%8A%A4-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-%EB%A7%A8%ED%88%AC%EB%A7%A8-%EA%B0%80%EA%B2%A9%EC%A1%B0%EC%A0%95%EC%97%86%EC%9D%8C-9xfrpiu9qgy5/,스누피,"아디다스 Originals 투톤 맨투맨 L사이즈입니다  블루와 베이지컬러 두가지색상은 수직으로  절개하여 합친 스타일이고 현재는 단종된 시즌 한정판이었어요  아이들이 무채색옷을 조아해서. 거의몇번입지않고 보관만했고 서랍에 접어 넣어서 생긴 주름입니다 전체적으로 깨끗하지만 생활감,생활기스 있을수 있으니 예민하신분, 찔러보기, 보고 판단하고 입어보시겠다는분들, 반품 절대 사양합니다  최소한 채팅매너도 지켜주시고 당근페이로 선입금시 문고리거래만 하겠습니다 (대략 품은58/ 기장 71정도)",11
카봇 에이스 레스큐 올스타,"10,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B9%B4%EB%B4%87-%EC%97%90%EC%9D%B4%EC%8A%A4-%EB%A0%88%EC%8A%A4%ED%81%90-%EC%98%AC%EC%8A%A4%ED%83%80-tp1tpw385qdb/,byeol,"카봇 에이스 레스큐 올스타 입니다 파손, 변색 없이 깨끗합니다 빛, 소리도 잘 나와요 가격제안 받아요~ 환불 X",6
앤틱 탁상 시계,"120,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%A4%ED%8B%B1-%ED%83%81%EC%83%81-%EC%8B%9C%EA%B3%84-fz2pjoiy69sd/,가을바람,"앤틱 스타일의 탁상 시계입니다 나무 재질로 되어있고, 갈색톤입니다 섬세한 장식 디테일이 돋보입니다 높이40센치 가로29센치",8
대형 칠판 판매(2500*1250),"200,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8C%80%ED%98%95-%EC%B9%A0%ED%8C%90-%ED%8C%90%EB%A7%A4-2500-1250-5kyayk9kb3y2/,겨울체리,"학원 정리로 인해 대형 칠판 판매합니다. 사이즈는 2500*1250 이며, 구매 후 1년도 채 사용하지 않아 상태 좋습니다. 비싸게 주고 설치한 제품이라 퀄리티 좋습니다. 위치는 대전 탄방동이고, 부피가 큰 제품이라 직접 가져가셔야 합니다. 관심 있으신 분은 연락 주세요 🙂",5
버버리 빈티지 실크 스카프 새상품급,"100,000원",대전 서구 둔산동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%84%EB%B2%84%EB%A6%AC-%EB%B9%88%ED%8B%B0%EC%A7%80-%EC%8B%A4%ED%81%AC-%EC%8A%A4%EC%B9%B4%ED%94%84-%EC%83%88%EC%83%81%ED%92%88%EA%B8%89-1c4ux8zpvnnm/,우왘,"버버리(Burberrys) 빈티지 실크 스카프 - 사이즈는 약 90cm x 90cm입니다 - 부드러운 실크 소재입니다 - 베이지색 바탕에 버버리 특유의 체크 패턴이 고급스러워요 - 특별한 날 포인트로 연출하기 좋습니다 이 제품은 버버리가 1999년 이전에 사용하던 로고인 'Burberrys'(끝에 's'가 붙은 형태)가 새겨진 빈티지 모델로, 승마 채찍(Whip)과 말 머리 장식 등이 어우러진 클래식한 테마의 디자인입니다. ​제품 상세 정보 ​브랜드: Burberrys (빈티지 버버리) ​패턴명: 에퀘스트리안/윕(Equestrian/Whip) 테마 ​소재: 100% 실크 (Silk) ​특징: 버버리 특유의 노바 체크(Nova Check) 테두리와 중앙의 화려한 골드 톤 그래픽이 특징인 스퀘어 스카프입니다. 거의 새제품 상태 최상입니다.",8
알레시(Alessi) '비엔나(Vienna)' 쓰레기통 휴지통,"300,000원",대전 서구 둔산동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%8C%EB%A0%88%EC%8B%9C-alessi-%EB%B9%84%EC%97%94%EB%82%98-vienna-%EC%93%B0%EB%A0%88%EA%B8%B0%ED%86%B5-%ED%9C%B4%EC%A7%80%ED%86%B5-ikmpjqe9a5h3/,우왘,"알레시(Alessi)**의 '비엔나(Vienna)' 쓰레기통입니다. 실제로는 비닐 및 쇼핑백 보관용으로 썼습니다. 아실 만한 분들만 구매하실 테니 설명은 필요도 없겠지만, 설명은 아래와 같습니다. 아래는 제미나이 검색내용입니다. ​유명 디자이너 **알레산드로 멘디니(Alessandro Mendini)**가 디자인한 제품으로, 고전적인 휴지통 실루엣에 화려한 금색 핸들과 노브(손잡이)를 더해 포스트모던한 감성을 담아낸 것이 특징입니다. ​제품 상세 정보 ​브랜드: 알레시 (Alessi) ​디자이너: 알레산드로 멘디니 (Alessandro Mendini) ​특징: 본체 전면에 특유의 별 모양(*) 양각 로고가 있으며, 화려한 바로크 스타일의 금색 손잡이가 달려 있습니다. 페달식으로 작동하며 내부에 별도의 버킷이 포함된 구조입니다.​ 이 제품은 현재 단종되었거나 구하기 힘든 빈티지 디자인 소품으로 분류되어 컬렉터들 사이에서 인기가 높습니다. 해외 빈티지 사이트에서는 상태에 따라 $400 ~ $600 선에 거래되기도 합니다.",14
르쿠르제 루크루제 무쇠 냄비 22cm 옐로우 찜기포함,"150,000원",대전 서구 둔산동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A5%B4%EC%BF%A0%EB%A5%B4%EC%A0%9C-%EB%A3%A8%ED%81%AC%EB%A3%A8%EC%A0%9C-%EB%AC%B4%EC%87%A0-%EB%83%84%EB%B9%84-22cm-%EC%98%90%EB%A1%9C%EC%9A%B0-%EC%B0%9C%EA%B8%B0%ED%8F%AC%ED%95%A8-ewdair5keznc/,우왘,르쿠르제 르크루제 무쇠 냄비 22cm 옐로우 색상입니다 찜기 함께 드립니다 무쇠 재질로 열 보존율이 뛰어나 요리가 맛있게 됩니다 색감 정말 예뻐요. 제품만 있습니다.,11
티파니앤코 리턴 투 하트 팔찌팝니다,"150,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8B%B0%ED%8C%8C%EB%8B%88%EC%95%A4%EC%BD%94-%EB%A6%AC%ED%84%B4-%ED%88%AC-%ED%95%98%ED%8A%B8-%ED%8C%94%EC%B0%8C%ED%8C%9D%EB%8B%88%EB%8B%A4-d6h7izydtngw/,징니,"티파니앤코 리턴 투 티파니 팔찌입니다 면세에서 구매한 정품인데 상자 케이스는 없고 더스트백만 있어요 사이즈는xs이였던걸로 기억하는데 제 손목둘레는 14cm정도 되네요, 팬던트에 생활기스는 있는점 유의해주세요",8
중소기업 인사노무관리.단편소설 책.도서,500원,경기 수원시 영통구 매탄동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85-%EC%9D%B8%EC%82%AC%EB%85%B8%EB%AC%B4%EA%B4%80%EB%A6%AC-%EB%8B%A8%ED%8E%B8%EC%86%8C%EC%84%A4-%EC%B1%85-%EB%8F%84%EC%84%9C-erxvicx355ou/,서영화광,권당 입니다 거래는 용머리어린이공원.오룡역 근처에서 합니다.  구매자가 원하는 위치도 가능합니다. 택배 및 반값택배 가능합니다 직장 때문에 답변이 늦을 수 있어요. 문자 남겨주시면 늦어도 저녁 쯤 답장 보내드릴게요,5
샌디스크 익스트림 프로 듀얼 드라이브 2TB 미개봉,"225,000원",대전 서구 둔산동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%8C%EB%94%94%EC%8A%A4%ED%81%AC-%EC%9D%B5%EC%8A%A4%ED%8A%B8%EB%A6%BC-%ED%94%84%EB%A1%9C-%EB%93%80%EC%96%BC-%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8C-2tb-%EB%AF%B8%EA%B0%9C%EB%B4%89-ynczcq47g22o/,pacosanta,샌디스크 익스트림 프로 듀얼 드라이브 2TB  - 미개봉 신품,5
대형 칠판 판매(3400*1250),"300,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8C%80%ED%98%95-%EC%B9%A0%ED%8C%90-%ED%8C%90%EB%A7%A4-3400-1250-8c4qwhf7k1om/,겨울체리,"학원 정리로 인해 대형 칠판 판매합니다. 사이즈는 3400*1250 이며, 구매 후 1년도 채 사용하지 않아 상태 좋습니다. 100만원 넘게 주고 설치한 제품입니다. 위치는 대전 탄방동이고, 부피가 큰 제품이라 직접 가져가셔야 합니다. 관심 있으신 분은 연락 주세요 🙂",5
